"name","reviewCount","rating","published","title","content"
"Ann-Maria",6,55,2023-01-05,"HOME Assens","HOME Assens. Tusind tak til teamet i Assens ( Line-Karina-Lasse ) for et fantastisk godt forløb i forbindelse med salget af bolig i Ebberup. Et forløb der hele vejen igennem har været præget af troværdighed-professionalisme og et meget højt informations-niveau. I har nu solgt 4 ejendomme for os og alle har været til UG. Vi kommer helt sikkert igen ved både køb/salg. De varmeste anbefalinger herfra E.P Ejendomme Assens."
"Flemming Kruse",15,55,2023-01-05,"Super samarbejde med Home Holbæk","Super samarbejde med Home HolbækVi havde en god indledende snak om salget, herunder den realistiske salgspris. Herefter gik det hele slag i slag og efter under en måned var der en underskrevet købsaftale. Vi blev hele tiden holdt underrettet om interesserede købere og fremvisninger. Vi følte os hele tiden velinformerede og i gode hænder."
"Gitte Nielsen",7,15,2023-01-05,"Uprofessionelt og utrygt forløb","Hvad der startede godt, endte ud i et virkelig ubehageligt forløb præget af manglende og uprofessionel kommunikation, oplevelsen af at HOME ikke var ”min” repræsentant, men købers, virkelig dårlig og direkte forkert rådgivning samt overdragelse af hus, før skødet var tinglyst – med deraf følgende omkostninger til mig som sælger.Alt i at et virkelig utrygt forløb, som har givet mig søvnløse nætter og forhøjet blodtryk. Vil ikke anbefale HOME til nogen – og slet ikke HOME Hornbæk."
"Rasmus Bøegh Danielsen",1,55,2023-01-03,"De bedste anbefalinger af Home Frederiksberg","Kære Home Frederiksberg,Tak for et rigtig godt forløb og en fantastisk stor indsats i forbindelse med salget af vores bolig på Frederiksberg. Et forløb præget af stor professionalisme, troværdighed og højt informations-niveau. Mange tak for indsatsen!"
"Louise Ljungberg",1,55,2023-01-04,"Fantastiske egendomsmæglere i home de…","Fantastiske og super søde egendomsmæglere fra home i Taastrup de solgte vores ejerlejlighed på 4 dage til den pris vi havde sat de var under hele forløbet ekstremt professionele og tog generelt bare rigtig godt om os som kunder tak home<U+0001F60A>"
"Elisabeth og Dan",1,55,2022-12-29,"Sympatisk troværdig og kompetent mægler","Sympatisk troværdig mægler. Troværdig god vejledning og information om og under salgsforløbet.Hurtig ekspedition af nødvendige papirer til underskrift, samt hurtig iværksættelse overfor offentligheden.Dette medførte til booking af fremvisning efter blot 2 dage, og en underskrevet aftale efter blot een uge.Forbløffende hurtigt, effektivt og kompetent arbejde og indsats. Virkeligt godt arbejde af home Bramsnæs :-)"
"S.Møller",9,55,2022-12-28,"Home Nørrebro - Nicolai og hans team er i top!","Nicolai ved Home Nørrebro og hele hans team var top professionelle - både ved salgsvurdering og ved hele salgsforløbet. Han var meget vidende omkring området, udvikling og hele lokalområdet. Prisen blev sat skarpt efter god dialog, og salget lykkedes inden for den aftalte tid på 3 måneder. Service og kommunikation undervejs var i top! og mega venlig og serviceminded med god information undervejs så vi var aldrig i tvivl om hvad der foregik mv. Klar anbefaling hvis man skal sælge på Nørrebro!"
"Marlene Mærkedahl",8,55,2022-12-24,"Helt klart de bedste anbefalinger","Vores valg af ejendomsmægler blev relativt nemt at vælge. Helt fra start blev vi mødt med professionel viden og en rigtig god fornemmelse. Home Juelsminde har under hele (relativ kort tid) været meget behagelig, med information omkring situationen og salgets status mm. Vi giver de bedste anbefalinger herfra og vil bestemt vælge dem igen hvis vi skal have solgt hus."
"Ulla Hansen",13,55,2022-12-27,"Home Højbjerg får 5 store stjerner","Vi giver Betina og Torben fra Home Højbjerg de allerbedste anbefalinger. Lynhurtigt salg til vores ønskede pris, endda i en meget udfordret tid med inflation og rentestigninger. Vi er meget tilfredse."
"Majbrit Nørbygaard",1,55,2022-12-21,"Home Billund har solgt mit hus og hvor…","Home Billund har solgt mit hus og hvor er jeg tilfreds, har kun godt at sige om dem. Meget professionelle og altid imødekomne. De har været rigtig gode til at holde mig orienteret om hver ting der skete. Jeg kan varmt anbefale Home. Tusind tak for hjælpen."
